What is your age group?,"What is your current year of study?
","How well do you understand what mental health means?
",What do you think mental health is related to?,"Do you think mental health is as important as physical health?
","Do you think anyone can experience mental-health difficulties?
","Do you know where a student can get help if they are facing emotional or mental difficulties?
","If you are feeling emotionally upset or stressed, would you talk to someone?
","Who would you feel comfortable talking to when you have a problem?
","What makes it difficult for students to talk about their mental health?
","Do you think students need more mental-health awareness in college/school?
",How often do you feel overwhelmed by your daily responsibilities?,"How often do you feel emotionally tired?
","How supported do you feel by the people around you?
","What usually helps you when you are having a difficult day?
","How much academic pressure do you usually feel?
","How many hours do you usually sleep per night?
","Approximately how much screen time do you have per day?
","How often do you participate in physical activity or exercise?
","In your own words, what does good mental health mean to you?
","What do you wish parents or teachers understood better about students' mental health?
","What do you think students need to improve mental-health awareness?
"
19-21,Second Year,2,Thoughts and feelings;How we handle problems,No,No,No,Yes,Friend,Feeling shy or uncomfortable;I don't think it is important;Nothing makes it difficult,Yes,1,1,1,Taking a break;Exercise,4,7–8 hours,Less than 2 hours,Rarely,,,
19-21,Second Year,2,Thoughts and feelings,No,No,Yes,No,Teacher,Fear of being judged;Family may not understand,Not sure,4,2,3,Taking a break,2,Less than 5 hours,Less than 2 hours,1–2 days a week,,,
22-24,Second Year,4,How we handle problems,No,No,No,No,Friend,Fear of being judged;Family may not understand,No,1,1,1,Listening to music,1,Less than 5 hours,4–6 hours,1–2 days a week,,,
19-21,Second Year,2,Thoughts and feelings,No,No,No,Yes,Parents/Family;Friend;Teacher;,Fear of being judged;Family may not understand;I don't think it is important,No,2,3,3,Talking to someone,1,5–6 hours,4–6 hours,1–2 days a week,,,
19-21,Second Year,5,Emotions;Relationships with others,Yes,Yes,Yes,Yes,No one,Fear of being judged;Family may not understand;Don't know whom to talk to,Yes,5,5,5,Listening to music,5,5–6 hours,4–6 hours,1–2 days a week,,,
17 - 18,First Year,5,Emotions;How we handle problems;Not sure,Yes,Yes,Yes,Yes,Parents/Family,Family may not understand,Yes,5,4,4,Talking to someone;Listening to music;Hobbies,4,6–7 hours,4–6 hours,Rarely,,,
22-24,Third Year,5,Emotions;Relationships with others,Not sure,Not sure,Not sure,No,Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable;Don't know whom to talk to;I don't think it is important,Yes,4,3,5,Rest/sleep;Spending time with friends/family,4,6–7 hours,2–4 hours,Never,,,
19-21,Second Year,4,Not sure,Yes,Not sure,Yes,Maybe,Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable;I don't think it is important;Nothing makes it difficult,Yes,5,5,5,Taking a break;Hobbies;Rest/sleep,5,6–7 hours,More than 8 hours,5 or more days a week,,,
19-21,Third Year,5,Emotions;How we handle problems;Relationships with others,Yes,Yes,Yes,Yes,No one,Fear of being judged;Family may not understand;Feeling shy or uncomfortable;I don't think it is important,Yes,5,5,5,Listening to music;Hobbies;Rest/sleep,5,6–7 hours,2–4 hours,Rarely,,,
19-21,Third Year,4,All of the above,Yes,Yes,Not sure,Yes,Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable;Don't know whom to talk to,Yes,4,3,3,Hobbies;Rest/sleep,3,5–6 hours,6–8 hours,Rarely,,,
19-21,Third Year,3,Thoughts and feelings,Yes,Yes,Yes,No,No one,Fear of being judged,Yes,4,4,1,Rest/sleep,1,6–7 hours,More than 8 hours,Never,Nope,,
22-24,Third Year,4,Thoughts and feelings,Yes,Yes,Yes,Yes,Friend,Fear of being judged,Yes,2,3,4,Taking a break;Hobbies,4,7–8 hours,4–6 hours,1–2 days a week,,,
17 - 18,Third Year,3,Thoughts and feelings,Yes,Yes,No,Maybe,Parents/Family,Don't know whom to talk to,Yes,3,2,4,Spending time with friends/family,4,7–8 hours,4–6 hours,Rarely,Mental health gives peaceful life,Teachers must understand the mental health of students ,Yes students should be aware of mental awareness 
